Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
497,2009,G.I. Joe: The Rise of Cobra,2207986545,150201498,152267519
498,2016,Passengers,2064615817,100014699,202224973
499,1991,Hook,2044540523,119654823,181200000
500,1985,Rambo: First Blood Part II,2845899541,150415432,149984568
502,1978,Superman,2797800564,134218018,165981982
503,2004,Van Helsing,2207986545,120150546,180000000
504,2008,Horton Hears a Who,2064615817,154529439,144948447
505,2010,Shutter Island,2044540523,128012934,171448848
506,1997,My Best Friend's Wedding,2845899541,126813153,172110266
507,1999,Stuart Little,2797800564,140015224,158800000
508,2018,Oceanâs 8,2207986545,140218711,157500000
509,1989,Look Who's Talking,2064615817,140088813,157011187
510,2000,X-Men,2044540523,157299717,139572650
511,2002,Austin Powers in Goldmember,2845899541,213117789,83220874
512,2016,Miss Peregrineâs Home for Peculiar Ch…,2797800564,87242834,208744042
513,2010,Resident Evil: Afterlife,2207986545,60128566,235745624
514,1984,Ghostbusters,2064615817,242212467,52999344
515,2015,The Divergent Series: Insurgent,2044540523,130179072,164896810
516,2010,Sex and the City 2,2845899541,95347692,199333086
517,1998,Doctor Dolittle,2797800564,144156605,150000000
518,2009,G-Force,2207986545,119436770,173381071
519,2018,Pacific Rim: Uprising,2064615817,59874525,231055623
520,1999,The Green Mile,2044540523,136801374,153900000
521,2010,Salt,2845899541,118311368,172339126
522,2017,Ferdinand,2797800564,84410380,205428533
523,2006,The Departed,2207986545,132384315,157276304
524,2011,Bridesmaids,2064615817,169211718,120420305
525,2007,Fantastic Four: Rise of the Silver Su…,2044540523,131921738,157558953
526,1988,Coming to America,2845899541,128152301,160647699
527,2000,What Lies Beneath,2797800564,155464351,133229638
528,2013,Oblivion,2207986545,89107235,198809398
529,2007,Bee Movie,2064615817,126631277,160963300
530,2015,Pitch Perfect 2,2044540523,184296230,102918966
531,2013,Turbo,2845899541,83028130,203868448
532,2001,American Pie 2,2797800564,145096820,141403180
533,1965,The Sound of Music,2207986545,163214286,122999909
534,2013,Elysium,2064615817,93050117,193141974
535,1998,Lethal Weapon 4,2044540523,130444603,154955397
536,2005,Wedding Crashers,2845899541,209218368,74000000
537,1994,Speed,2797800564,121248145,161951855
538,2012,John Carter,2207986545,73058679,209719421
539,1977,Saturday Night Fever,2064615817,139486124,142913876
540,1995,Casper,2044540523,100328194,181971806
541,2012,The Bourne Legacy,2845899541,113203870,167152050
542,1998,Shakespeare in Love,2797800564,100317794,179182206
543,2017,Split,2207986545,138141585,140613009
544,2010,The Tourist,2064615817,67631157,211100212
545,2001,Bridget Jones's Diary,2044540523,71500556,206401817
546,2000,Scary Movie,2845899541,157019771,120180229
547,2016,Alice Through the Looking Glass,2797800564,77042381,199885731
548,1987,Beverly Hills Cop II,2207986545,153665036,123000000
549,2002,Scooby-Doo,2064615817,153294164,123000000
550,2014,Divergent,2044540523,150947895,125067070
551,1991,The Silence of the Lambs,2845899541,130726716,145000000
552,2008,Gran Torino,2797800564,148095302,126447783
553,2008,High School Musical 3: Senior Year,2207986545,90559416,183833464
554,2013,Cloudy with a Chance of Meatballs 2,2064615817,119793567,154599082
555,1996,The Nutty Professor,2044540523,128814019,145000000
556,1996,Jerry Maguire,2845899541,153952592,119600000
557,2018,Tomb Raider,2797800564,58250803,215226698
558,2012,Lincoln,2207986545,182207973,91138308
559,2001,Lara Croft: Tomb Raider,2064615817,131144183,142186002
560,2003,Bad Boys II,2044540523,138540870,134731112
561,2010,Grown Ups,2845899541,162001186,110221814
562,2009,The Princess and the Frog,2797800564,104400899,166596479
563,2014,Neighbors,2207986545,150086800,120857628
564,1993,The Firm,2064615817,158340892,112000000
565,2014,Mr. Peabody & Sherman,2044540523,111506430,158300000
566,2008,10000 B.C.,2845899541,94784201,174281477
567,2021,A Quiet Place: Part II,2797800564,159578799,109047080
568,1972,The Godfather,2207986545,134966411,133533589
569,2014,Exodus: Gods and Kings,2064615817,65014513,203300000
570,2010,The Expendables,2044540523,103068524,165199650
571,1942,Bambi,2845899541,102797000,165203000
572,2007,American Gangster,2797800564,130164645,137820811
573,2013,Weâre the Millers,2207986545,150394119,117422157
574,2002,xXx,2064615817,141930000,125270000
575,1992,Batman Returns,2044540523,162833635,103990656
576,2003,Something's Gotta Give,2845899541,124685242,142000000
577,1993,Indecent Proposal,2797800564,106614059,159985941
578,2018,Maze Runner: The Death Cure,2207986545,58032443,207846093
579,2008,The Incredible Hulk,2064615817,134806913,130766946
580,1995,Waterworld,2044540523,88246220,176000000
581,1998,The Truman Show,2845899541,125618201,138500000
582,1997,The Fifth Element,2797800564,63570862,200327899
583,2004,Bridget Jones: The Edge Of Reason,2207986545,40203020,223691531
584,2011,Real Steel,2064615817,85463309,178417032
585,1950,Cinderella,2044540523,85000000,178591415
586,2017,Baahubali 2: The Conclusion,2845899541,18985794,244517120
587,2013,Epic,2797800564,107518682,155275759
588,1995,Jumanji,2207986545,100458310,162300000
589,2006,Borat,2064615817,128505958,132937284
590,1990,Total Recall,2044540523,119394839,142005161
591,1997,The Full Monty,2845899541,45950122,215299261
592,2005,Robots,2797800564,128200012,132436259
593,2013,The Lone Ranger,2207986545,89302115,170700000
594,2000,Charlie's Angels,2064615817,125305545,134430545
595,2017,Blade Runner 2049,2044540523,92054159,167184812
596,2010,Knight and Day,2845899541,76423035,182328335
597,1985,Out of Africa,2797800564,79096868,179113992
598,2011,Super 8,2207986545,127004179,130968566
599,2013,American Hustle,2064615817,150098456,107760487
600,2000,Erin Brockovich,2044540523,125548685,132256558
